,user_id,clusters_portion_liked,clusters_portion_disliked,cluster_number
10,21,"[0.05434782608695652, 0.06521739130434782, 0.05434782608695652, 0.03260869565217391, 0.40217391304347827, 0.043478260869565216, 0.010869565217391304, 0.10869565217391304, 0.22826086956521738, 0.0]","[0.09803921568627451, 0.0784313725490196, 0.0196078431372549, 0.058823529411764705, 0.1568627450980392, 0.4117647058823529, 0.058823529411764705, 0.0392156862745098, 0.0196078431372549, 0.058823529411764705]",0
11,24,"[0.09302325581395349, 0.11627906976744186, 0.023255813953488372, 0.023255813953488372, 0.11627906976744186, 0.32558139534883723, 0.09302325581395349, 0.08139534883720931, 0.08139534883720931, 0.046511627906976744]","[0.1297709923664122, 0.04580152671755725, 0.022900763358778626, 0.06870229007633588, 0.030534351145038167, 0.42748091603053434, 0.022900763358778626, 0.030534351145038167, 0.0916030534351145, 0.1297709923664122]",1
12,22,"[0.06818181818181818, 0.06818181818181818, 0.022727272727272728, 0.125, 0.11363636363636363, 0.23863636363636365, 0.10227272727272728, 0.022727272727272728, 0.09090909090909091, 0.14772727272727273]","[0.10975609756097561, 0.06097560975609756, 0.024390243902439025, 0.07317073170731707, 0.024390243902439025, 0.4634146341463415, 0.024390243902439025, 0.06097560975609756, 0.07317073170731707, 0.08536585365853659]",1
13,23,"[0.043478260869565216, 0.17391304347826086, 0.08695652173913043, 0.13043478260869565, 0.043478260869565216, 0.08695652173913043, 0.13043478260869565, 0.30434782608695654, 0.0, 0.0]","[0.13636363636363635, 0.09090909090909091, 0.09090909090909091, 0.5, 0.045454545454545456, 0.13636363636363635, 0.0, 0.0, 0.0, 0.0]",4
14,7,"[0.017543859649122806, 0.07017543859649122, 0.03508771929824561, 0.07894736842105263, 0.03508771929824561, 0.16666666666666666, 0.05263157894736842, 0.05263157894736842, 0.2543859649122807, 0.23684210526315788]","[0.13821138211382114, 0.032520325203252036, 0.016260162601626018, 0.032520325203252036, 0.056910569105691054, 0.4959349593495935, 0.056910569105691054, 0.04878048780487805, 0.04878048780487805, 0.07317073170731707]",2
15,25,"[0.02631578947368421, 0.06578947368421052, 0.039473684210526314, 0.17105263157894737, 0.09210526315789473, 0.18421052631578946, 0.039473684210526314, 0.039473684210526314, 0.19736842105263158, 0.14473684210526316]","[0.10256410256410256, 0.02564102564102564, 0.01282051282051282, 0.01282051282051282, 0.07692307692307693, 0.6282051282051282, 0.01282051282051282, 0.02564102564102564, 0.0641025641025641, 0.038461538461538464]",2
16,26,"[0.075, 0.1, 0.1, 0.025, 0.125, 0.25, 0.1, 0.225, 0.0, 0.0]","[0.08571428571428572, 0.08571428571428572, 0.05714285714285714, 0.02857142857142857, 0.11428571428571428, 0.4, 0.02857142857142857, 0.05714285714285714, 0.11428571428571428, 0.02857142857142857]",4
17,11,"[0.0481283422459893, 0.09090909090909091, 0.016042780748663103, 0.11764705882352941, 0.0855614973262032, 0.12299465240641712, 0.08021390374331551, 0.06951871657754011, 0.1497326203208556, 0.2192513368983957]","[0.06666666666666667, 0.025, 0.016666666666666666, 0.008333333333333333, 0.06666666666666667, 0.5666666666666667, 0.075, 0.06666666666666667, 0.058333333333333334, 0.05]",2
18,28,"[0.09476309226932668, 0.09476309226932668, 0.0199501246882793, 0.06483790523690773, 0.06483790523690773, 0.3341645885286783, 0.032418952618453865, 0.0399002493765586, 0.11221945137157108, 0.14214463840399003]","[0.0945945945945946, 0.05855855855855856, 0.013513513513513514, 0.06981981981981981, 0.06531531531531531, 0.4346846846846847, 0.036036036036036036, 0.04954954954954955, 0.10135135135135136, 0.07657657657657657]",1
19,29,"[0.06018518518518518, 0.06712962962962964, 0.03935185185185185, 0.08101851851851852, 0.06018518518518518, 0.3333333333333333, 0.03935185185185185, 0.05324074074074074, 0.12268518518518519, 0.14351851851851852]","[0.08196721311475409, 0.03278688524590164, 0.01092896174863388, 0.03825136612021858, 0.06557377049180328, 0.6065573770491803, 0.0273224043715847, 0.060109289617486336, 0.03825136612021858, 0.03825136612021858]",1
20,18,"[0.03225806451612903, 0.1935483870967742, 0.03225806451612903, 0.16129032258064516, 0.06451612903225806, 0.16129032258064516, 0.03225806451612903, 0.12903225806451613, 0.1935483870967742, 0.0]","[0.20833333333333334, 0.08333333333333333, 0.08333333333333333, 0.3333333333333333, 0.125, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]",2
21,32,"[0.15, 0.016666666666666666, 0.05, 0.11666666666666667, 0.25, 0.1, 0.05, 0.1, 0.16666666666666666, 0.0]","[0.10256410256410256, 0.05128205128205128, 0.038461538461538464, 0.038461538461538464, 0.07692307692307693, 0.5384615384615384, 0.01282051282051282, 0.10256410256410256, 0.038461538461538464, 0.0]",0
22,1,"[0.1111111111111111, 0.1111111111111111, 0.4444444444444444, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5
23,6,"[0.048582995951417005, 0.1214574898785425, 0.016194331983805668, 0.11336032388663968, 0.044534412955465584, 0.3643724696356275, 0.032388663967611336, 0.020242914979757085, 0.0931174089068826, 0.145748987854251]","[0.0960960960960961, 0.021021021021021023, 0.012012012012012012, 0.057057057057057055, 0.06906906906906907, 0.5015015015015015, 0.024024024024024024, 0.03003003003003003, 0.0960960960960961, 0.09309309309309309]",1
24,36,"[0.07913669064748201, 0.06474820143884892, 0.07913669064748201, 0.06474820143884892, 0.4316546762589928, 0.03597122302158273, 0.03597122302158273, 0.1223021582733813, 0.08633093525179857, 0.0]","[0.06944444444444445, 0.05555555555555555, 0.041666666666666664, 0.06944444444444445, 0.1111111111111111, 0.3888888888888889, 0.06944444444444445, 0.06944444444444445, 0.125, 0.0]",0
25,37,"[0.02, 0.16, 0.04, 0.22, 0.04, 0.12, 0.04, 0.06, 0.12, 0.18]","[0.1, 0.075, 0.05, 0.625, 0.05, 0.025, 0.05, 0.025, 0.0, 0.0]",2
