"id","user_id","content_id","engagement_type","engagement_value","created_date"
"335","8","40262","MillisecondsEngagedWith","1354","2022-11-09 13:49:50"
"336","8","57073","MillisecondsEngagedWith","1149","2022-11-09 13:49:52"
"337","8","40262","Like","1","2022-11-09 13:50:08"
"338","8","40262","MillisecondsEngagedWith","17101","2022-11-09 13:50:09"
"339","8","57073","Like","1","2022-11-09 13:50:11"
"340","8","57073","MillisecondsEngagedWith","1751","2022-11-09 13:50:11"
"341","8","69048","Like","1","2022-11-09 13:50:13"
"342","8","69048","MillisecondsEngagedWith","1349","2022-11-09 13:50:13"
"343","8","70075","Like","-1","2022-11-09 13:50:15"
"344","8","70075","MillisecondsEngagedWith","1500","2022-11-09 13:50:15"
"345","8","70601","MillisecondsEngagedWith","1352","2022-11-09 13:50:17"
"346","8","35053","Like","1","2022-11-09 13:50:21"
"347","8","47534","Like","1","2022-11-09 13:50:23"
"348","8","47534","MillisecondsEngagedWith","1535","2022-11-09 13:50:23"
"349","8","50647","Like","1","2022-11-09 13:50:25"
"350","8","62821","Like","1","2022-11-09 13:50:27"
"351","8","62821","MillisecondsEngagedWith","1567","2022-11-09 13:50:27"
"352","8","71895","Like","1","2022-11-09 13:50:29"
"353","8","71895","MillisecondsEngagedWith","1404","2022-11-09 13:50:29"
"354","8","92958","Like","1","2022-11-09 13:50:32"
"355","8","92958","MillisecondsEngagedWith","1652","2022-11-09 13:50:32"
"356","8","104631","Like","1","2022-11-09 13:50:34"
"357","8","104631","MillisecondsEngagedWith","1804","2022-11-09 13:50:34"
"358","8","126765","Like","1","2022-11-09 13:50:36"
"359","8","131164","Like","1","2022-11-09 13:50:38"
"360","8","131164","MillisecondsEngagedWith","2167","2022-11-09 13:50:39"
"361","8","36834","Like","1","2022-11-09 13:50:40"
"362","8","36834","MillisecondsEngagedWith","1203","2022-11-09 13:50:40"
"363","8","54045","Like","1","2022-11-09 13:50:41"
"364","8","63229","Like","1","2022-11-09 13:50:43"
"365","8","63229","MillisecondsEngagedWith","1451","2022-11-09 13:50:43"
"366","8","73322","Like","1","2022-11-09 13:50:46"
"367","8","101708","Like","1","2022-11-09 13:50:49"
"368","8","102527","MillisecondsEngagedWith","1566","2022-11-09 13:50:49"
"369","8","108052","Like","1","2022-11-09 13:51:13"
"370","8","118721","MillisecondsEngagedWith","23884","2022-11-09 13:51:13"
"371","8","118721","Like","1","2022-11-09 13:51:14"
"372","8","124575","Like","1","2022-11-09 13:51:15"
"373","8","124575","MillisecondsEngagedWith","1317","2022-11-09 13:51:16"
"374","8","46416","Like","1","2022-11-09 13:51:18"
"375","8","49004","Like","1","2022-11-09 13:51:19"
"376","8","53480","Like","1","2022-11-09 13:51:21"
"377","8","60080","Like","1","2022-11-09 13:51:22"
"378","8","60869","Like","1","2022-11-09 13:51:24"
"379","8","61963","Like","1","2022-11-09 13:51:25"
"380","8","112927","Like","1","2022-11-09 13:51:28"
"381","8","128940","Like","1","2022-11-09 13:51:30"
"382","8","33580","MillisecondsEngagedWith","1084","2022-11-09 13:51:33"
"383","8","33580","Like","1","2022-11-09 13:51:35"
"384","8","44651","MillisecondsEngagedWith","1351","2022-11-09 13:51:35"
"385","8","44651","Like","1","2022-11-09 13:51:36"
"386","8","55339","Like","1","2022-11-09 13:51:38"
"387","8","61693","Like","1","2022-11-09 13:51:39"
"388","8","63560","Like","1","2022-11-09 13:51:40"
"389","8","66681","Like","1","2022-11-09 13:51:42"
"390","8","74516","Like","1","2022-11-09 13:51:43"
"391","8","78237","Like","1","2022-11-09 13:51:45"
"392","8","78237","MillisecondsEngagedWith","1500","2022-11-09 13:51:45"
"393","8","90800","Like","1","2022-11-09 13:51:46"
"394","8","127960","Like","1","2022-11-09 13:51:48"
"395","8","127960","MillisecondsEngagedWith","1304","2022-11-09 13:51:48"
"396","8","31339","Like","1","2022-11-09 13:51:49"
"397","8","31339","MillisecondsEngagedWith","1370","2022-11-09 13:51:50"
"398","8","46020","Like","1","2022-11-09 13:51:51"
"399","8","46020","MillisecondsEngagedWith","1351","2022-11-09 13:51:52"
"400","8","65616","Like","1","2022-11-09 13:51:53"
"401","8","65616","MillisecondsEngagedWith","1350","2022-11-09 13:51:54"
"402","8","86610","Like","1","2022-11-09 13:51:55"
"403","8","86610","MillisecondsEngagedWith","1585","2022-11-09 13:51:55"
"404","8","86869","Like","1","2022-11-09 13:51:57"
"405","8","86869","MillisecondsEngagedWith","1469","2022-11-09 13:51:57"
"406","8","96693","Like","1","2022-11-09 13:51:59"
"407","8","102276","Like","-1","2022-11-09 13:52:00"
